
===== SHEET OPTIONS LIST (visible) 199x4 =====
A1=S.NO | B1=Name | C1=Symbol | D1=Lot Size (Dec-22)
A2=1 | B2=Nifty 50 | C2=NIFTY | D2=50
A3=2 | B3=Nifty Bank | C3=BANKNIFTY | D3=25
A4=3 | B4=Nifty Financial | C4=NIFTY FIN SERVICE | D4=40
A5=4 | B5=Aarti Industries Ltd | C5=AARTIIND | D5=850
A6=5 | B6=Abb Ltd | C6=ABB | D6=250
A7=6 | B7=Abbott India Ltd | C7=ABBOTINDIA | D7=40
A8=7 | B8=Acc Ltd | C8=ACC | D8=250
A9=8 | B9=Adani Enterprises Ltd | C9=ADANIENT | D9=500
A10=9 | B10=Adani Ports Sez Ltd | C10=ADANIPORTS | D10=1250
A11=10 | B11=Aditya Birla Capital Ltd | C11=ABCAPITAL | D11=5400
A12=11 | B12=Aditya Birla Fashion Ltd | C12=ABFRL | D12=2600
A13=12 | B13=Amara Raja Batteries Ltd | C13=AMARAJABAT | D13=1000
A14=13 | B14=Ambuja Cements Ltd | C14=AMBUJACEM | D14=1800
A15=14 | B15=Apollo Hospitals Ltd | C15=APOLLOHOSP | D15=125
A16=15 | B16=Apollo Tyres Ltd | C16=APOLLOTYRE | D16=3500
A17=16 | B17=Ashok Leyland Ltd | C17=ASHOKLEY | D17=5000
A18=17 | B18=Asian Paints Ltd | C18=ASIANPAINT | D18=200
A19=18 | B19=Astral Poly Technik Ltd | C19=ASTRAL | D19=275
A20=19 | B20=Atul Ltd | C20=ATUL | D20=75
A21=20 | B21=Aurobindo Pharma Ltd | C21=AUROPHARMA | D21=1000
A22=21 | B22=Au Small Finance Bank Ltd | C22=AUBANK | D22=1000
A23=22 | B23=Axis Bank Ltd | C23=AXISBANK | D23=1200
A24=23 | B24=Bajaj Auto Ltd | C24=BAJAJ-AUTO | D24=250
A25=24 | B25=Bajaj Finance Ltd | C25=BAJFINANCE | D25=125
A26=25 | B26=Bajaj Finserv Ltd | C26=BAJAJFINSV | D26=50
A27=26 | B27=Balkrishna Industries Ltd | C27=BALKRISIND | D27=300
A28=27 | B28=Balrampur Chini Mills Ltd | C28=BALRAMCHIN | D28=1600
A29=28 | B29=Bandhan Bank Ltd | C29=BANDHANBNK | D29=1800
A30=29 | B30=Bank Of Baroda Ltd | C30=BANKBARODA | D30=5850
A31=30 | B31=Bata India Ltd | C31=BATAINDIA | D31=275
A32=31 | B32=Berger Paints Ltd | C32=BERGEPAINT | D32=1100
A33=32 | B33=Bharat Electronics Ltd | C33=BEL | D33=3800
A34=33 | B34=Bharat Forge Ltd | C34=BHARATFORG | D34=1000
A35=34 | B35=Bharat Petroleum Ltd | C35=BPCL | D35=1800
A36=35 | B36=Bharti Airtel Ltd | C36=BHARTIARTL | D36=950
A37=36 | B37=Bharti Infratel Ltd | C37=BHARTIARTL | D37=950
A38=37 | B38=Bhel Bharat Heavy Electricals Ltd | C38=BHEL | D38=10500
A39=38 | B39=Biocon Ltd | C39=BIOCON | D39=2300
A40=39 | B40=Birlasoft Ltd | C40=BSOFT | D40=1300
A41=40 | B41=Bosch Ltd | C41=BOSCHLTD | D41=50
A42=41 | B42=Britannia Industries Ltd | C42=BRITANNIA | D42=200
A43=42 | B43=Canara Bank Ltd | C43=CANBK | D43=2700
A44=43 | B44=Can Fin Homes Ltd | C44=CANFINHOME | D44=975
A45=44 | B45=Chambal Fertilisers Chemicals Ltd | C45=CHAMBLFERT | D45=1500
A46=45 | B46=Cholamandalam Investment Ltd | C46=CHOLAFIN | D46=1250
A47=46 | B47=Cipla Ltd | C47=CIPLA | D47=650
A48=47 | B48=City Union Bank Ltd | C48=CUB | D48=5000
A49=48 | B49=Coal India Ltd | C49=COALINDIA | D49=4200
A50=49 | B50=Coforge Ltd | C50=COFORGE | D50=150
A51=50 | B51=Colgate Palmolive Ltd | C51=COLPAL | D51=350
A52=51 | B52=Coromandel International Ltd | C52=COROMANDEL | D52=700
A53=52 | B53=Crompton Greaves Consumer Electricals Ltd | C53=CROMPTON | D53=1500
A54=53 | B54=Cummins India Ltd | C54=CUMMINSIND | D54=600
A55=54 | B55=Dabur India Ltd | C55=DABUR | D55=1250
A56=55 | B56=Dalmia Bharat Sugar Industries Ltd | C56=DALMIASUG | D56=500
A57=56 | B57=Deepak Nitrite Ltd | C57=DEEPAKNTR | D57=250
A58=57 | B58=Delta Corp Ltd | C58=DELTACORP | D58=2300
A59=58 | B59=Divis Laboratories Ltd | C59=DIVISLAB | D59=150
A60=59 | B60=Dixon Technologies Ltd | C60=DIXON | D60=125
A61=60 | B61=Dlf Ltd | C61=DLF | D61=1650
A62=61 | B62=Dr Lal Pathlabs Ltd | C62=LALPATHLAB | D62=250
A63=62 | B63=Dr Reddys Laboratories Ltd | C63=DRREDDY | D63=125
A64=63 | B64=Eicher Motors Ltd | C64=EICHERMOT | D64=350
A65=64 | B65=Escorts Ltd | C65=ESCORTS | D65=550
A66=65 | B66=Exide Industries Ltd | C66=EXIDEIND | D66=3600
A67=66 | B67=Federal Bank Ltd | C67=FEDERALBNK | D67=10000
A68=67 | B68=Firstsource Solutions Ltd | C68=FSL | D68=5200
A69=68 | B69=Gail Ltd | C69=GAIL | D69=6100
A70=69 | B70=Glenmark Pharmaceuticals Ltd | C70=GLENMARK | D70=1150
A71=70 | B71=Gmr Infrastructure Ltd | C71=GMRINFRA | D71=22500
A72=71 | B72=Gnfc Ltd | C72=GNFC | D72=1300
A73=72 | B73=Godrej Consumer Products Ltd | C73=GODREJCP | D73=1000
A74=73 | B74=Godrej Properties Ltd | C74=GODREJPROP | D74=325
A75=74 | B75=Granules India Ltd | C75=GRANULES | D75=2000
A76=75 | B76=Grasim Industries Ltd | C76=GRASIM | D76=475
A77=76 | B77=Gujarat Gas Ltd | C77=GUJGASLTD | D77=1250
A78=77 | B78=Gujarat State Petronet Ltd | C78=GSPL | D78=2500
A79=78 | B79=Hal Hindustan Aeronautics Ltd | C79=HAL | D79=475
A80=79 | B80=Havells India Ltd | C80=HAVELLS | D80=500
A81=80 | B81=Hcl Technologies Ltd | C81=HCLTECH | D81=700
A82=81 | B82=Hdfc Asset Management Company Ltd | C82=HDFCAMC | D82=300
A83=82 | B83=Hdfc Bank Ltd | C83=HDFCBANK | D83=550
